id,property_type,final_score,norm_score,explicit,implicit,freshness,trust,boost
8b2516df,house,10.513526,1.0,2.7362104981721477e-34,16.112538972774203,0.6319326021055633,0.9299999999999999,1.0
b2f86942,land,6.732291,0.6403,0.0013485429762039184,0.004538042681671082,0.6299794071379996,1.1400000000000001,3.61066016308988
367da0f5,condo,6.389544,0.6077,0.0015053725820361361,0.014315240322121905,0.9962264807389274,0.9,3.5010592622177517
d764bb77,apartment,4.743649,0.4512,0.013035819707423967,0.7376819941336139,4.754293544085201e-13,1.12,3.6434526764861874
6ac0982a,house,1.980468,0.1884,5.3384379665199754e-33,0.2181376380244429,0.11611636763576177,1.0,3.611723308007342
e676d59a,land,1.44675,0.1376,0.0014627045212336296,6.414895365350696e-10,0.00017789914606529473,1.17,3.6766936096248664
00a2ffb8,condo,1.388904,0.1321,5.898931427683762e-31,0.0011046776157692033,0.00031168472439089016,1.16,3.4927603890268375
10162b69,apartment,1.358095,0.1292,0.0059333423921885875,0.0,0.00010509358449398046,0.9,3.6483600109809315
19c66c46,house,0.532171,0.0506,0.006149428686379252,1.1624683552780641,0.1709940297964533,1.09,2.7481880270062007
1465a94e,land,0.43011,0.0409,5.367848769019676e-16,0.04517881702059425,5.0203935425199715e-12,1.19,3.61066016308988
888b29e0,condo,0.40536,0.0386,0.0024066065947331403,1.3613215476905677e-09,1.923331268551361e-11,0.9,3.622214022966295
efa46799,apartment,0.403377,0.0384,3.142958765709835e-17,0.0002654749543346049,1.8774616194050285e-09,1.12,3.383815365980431
dfa03ca0,house,0.142627,0.0136,0.004807240655956269,0.2816617393891761,0.47651272105263126,1.07,2.1368768480388765
13f1fc13,land,0.123622,0.0118,1.823762622660063e-19,1.974332139023763e-05,2.4048675034150565e-07,0.97,3.629409599102719
2b5869fc,condo,0.121233,0.0115,1.5014327447739799e-128,0.040750763324771094,1.5193875822288087e-11,1.15,3.357934847000454
61134f61,apartment,0.120572,0.0115,2.4467953139589874e-128,0.004072496430126014,2.5486760876728076e-06,0.95,3.53655844257153
73f85cb1,house,0.039851,0.0038,6.5825852066261855e-31,2.904163066953973,0.7359301593279044,0.8300000000000001,1.0
9d8564de,land,0.037071,0.0035,1.2574389724135604e-17,3.959660789687517e-08,0.004204956920825,0.92,3.6766936096248664
31415ea8,condo,0.035911,0.0034,2.5805445864270897e-127,1.4676529049884116e-11,0.010492790306692302,0.92,3.5327543789924976
9085e852,apartment,0.035881,0.0034,0.014516548570905377,0.006148266451324385,3.151228328082673e-07,1.07,3.3820170425748683
72ad3bfe,house,0.011529,0.0011,1.5439756880876763e-31,8.391720479594252,0.08242643125532068,0.8700000000000001,3.4712917110589387
f8343d98,land,0.011093,0.0011,1.6427451129756227e-17,0.0,2.1312892476438566e-05,1.0,3.583198773968623
a7d90365,condo,0.0107,0.001,2.0250431923777157e-18,4.5378241810937256e-07,2.3556359991870253e-05,0.9099999999999999,3.514547752660286
07a874f5,apartment,0.010683,0.001,4.535644581481575e-31,0.0015276441120443825,2.6768777650516876e-10,0.9299999999999999,3.4871383754771865
297b891f,house,0.003406,0.0003,2.2700571736563075e-32,2.47217932075749,0.6843829425582837,0.92,1.0
d48e8c1b,land,0.003306,0.0003,1.7910457356602357e-29,1.652613626189196e-08,1.0188633545546733e-06,0.99,3.5658478186735176
26306b92,condo,0.003208,0.0003,3.2598583323329964e-124,0.0,1.1239763155989662e-07,0.99,3.428134794028789
b27b22fd,apartment,0.003198,0.0003,1.256332491541181e-28,0.0002506254999049939,0.001771229936431675,1.17,3.2380461031287955
120ea6a7,house,0.001013,0.0001,2.5663741095220712e-130,3.8009265846531766,0.3439611806284826,0.8500000000000001,1.0
781ba953,land,0.000975,0.0001,8.129748031401666e-132,0.004143159071380969,0.3085172351331778,0.81,1.6605476087580437
1d133243,condo,0.000959,0.0001,5.418990014241484e-17,0.0,9.477322965832171e-06,1.05,3.3560258571931225
ec17df21,apartment,0.000957,0.0001,1.1495920540080013e-34,0.0,0.22581726208829947,0.89,1.4922348362878306
